user_id,watch_time_hours,avg_session_mins,sessions_per_week,completion_rate,weekend_usage_ratio,genre_diversity,top_genres
USR-00001,1.56,36.0,3,0.361,0.771,1,Comedy
USR-00002,16.98,23.0,3,0.704,0.511,3,Drama|Family|Animation
USR-00003,34.15,67.1,7,0.853,0.504,1,Romance
USR-00004,5.05,51.2,1,0.6,0.897,2,Comedy|Drama
USR-00005,41.05,117.4,12,0.907,0.331,3,Sci-Fi|Thriller|Action
USR-00006,26.65,95.4,5,0.844,0.353,2,Thriller|Romance
USR-00007,2.13,23.2,2,0.567,0.779,3,Drama|Comedy|Family
USR-00008,2.78,47.2,1,0.644,0.636,3,Drama|Comedy|Family
USR-00009,37.77,84.2,9,0.889,0.432,4,Action|Sci-Fi|Thriller
USR-00010,39.06,67.5,9,0.589,0.438,5,Documentary|Thriller|Family|Drama|Romance
USR-00011,10.2,36.9,6,0.605,0.678,4,Comedy|Family|Drama|Animation
USR-00012,26.33,81.6,8,0.723,0.524,2,Thriller|Romance
USR-00013,39.56,73.5,10,0.768,0.479,5,Animation|Comedy|Drama|Romance|Sci-Fi
USR-00014,3.32,40.5,2,0.388,0.836,2,Family|Drama
USR-00015,5.1,23.4,2,0.729,0.644,2,Comedy|Drama
USR-00016,6.5,24.8,4,0.517,0.404,5,Comedy|Animation|Family|Drama
USR-00017,39.62,43.1,10,0.777,0.331,5,Family|Sci-Fi|Documentary|Thriller|Comedy
USR-00018,43.47,97.6,8,0.84,0.387,4,Thriller|Action|Sci-Fi
USR-00019,5.65,23.3,3,0.591,0.892,1,Family
USR-00020,29.22,59.1,6,0.735,0.356,5,Romance|Thriller|Family|Documentary|Animation
USR-00021,7.74,48.0,1,0.497,0.863,1,Family
USR-00022,16.43,17.4,3,0.637,0.374,2,Comedy|Animation
USR-00023,25.42,88.7,4,0.66,0.446,3,Romance|Thriller|Drama
USR-00024,32.63,91.2,4,0.812,0.496,1,Drama
USR-00025,4.55,45.8,2,0.601,0.726,1,Comedy
USR-00026,44.29,88.4,13,0.761,0.292,3,Sci-Fi|Thriller|Action
USR-00027,23.53,47.9,5,0.788,0.37,7,Family|Drama|Thriller|Sci-Fi|Comedy|Action|Animation
USR-00028,52.46,79.6,11,0.884,0.308,2,Sci-Fi|Action
USR-00029,46.02,111.4,11,0.899,0.255,3,Sci-Fi|Action|Thriller
USR-00030,3.34,34.7,2,0.603,0.839,2,Family|Comedy
USR-00031,3.44,38.3,1,0.526,0.787,1,Drama
USR-00032,18.02,60.6,4,0.918,0.444,3,Romance|Drama|Thriller
USR-00033,11.19,38.4,4,0.471,0.425,3,Comedy|Drama|Animation
